#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.2364, 3.521e-11, 4.126e-11, 5.766e-14, 6.733e-14
     59707.2367, 3.533e-11, 4.144e-11, 5.766e-14, 6.783e-14
      59707.237, 3.545e-11, 4.146e-11, 5.811e-14, 6.754e-14
     59707.2373, 3.551e-11, 4.157e-11, 5.814e-14, 6.809e-14
     59707.2376, 3.551e-11, 4.165e-11, 5.814e-14, 6.803e-14
     59707.2379, 3.553e-11, 4.159e-11, 5.816e-14, 6.792e-14
     59707.2382, 3.553e-11, 4.16e-11, 5.821e-14, 6.779e-14
     59707.2385, 3.561e-11, 4.164e-11, 5.828e-14, 6.791e-14
     59707.2388, 3.561e-11, 4.17e-11, 5.838e-14, 6.797e-14
     59707.2391, 3.559e-11, 4.169e-11, 5.822e-14, 6.802e-14
     59707.2394, 3.564e-11, 4.169e-11, 5.83e-14, 6.794e-14
     59707.2397, 3.562e-11, 4.17e-11, 5.825e-14, 6.8e-14
       59707.24, 3.564e-11, 4.171e-11, 5.828e-14, 6.805e-14
     59707.2403, 3.561e-11, 4.175e-11, 5.809e-14, 6.809e-14
     59707.2406, 3.561e-11, 4.176e-11, 5.814e-14, 6.821e-14
     59707.2409, 3.573e-11, 4.174e-11, 5.847e-14, 6.797e-14
     59707.2412, 3.568e-11, 4.179e-11, 5.835e-14, 6.815e-14
     59707.2415, 3.574e-11, 4.174e-11, 5.854e-14, 6.805e-14
     59707.2418, 3.569e-11, 4.177e-11, 5.841e-14, 6.813e-14
     59707.2421, 3.56e-11, 4.182e-11, 5.819e-14, 6.813e-14
     59707.2424, 3.568e-11, 4.181e-11, 5.831e-14, 6.809e-14
     59707.2427, 3.569e-11, 4.182e-11, 5.839e-14, 6.8e-14
      59707.243, 3.567e-11, 4.185e-11, 5.838e-14, 6.844e-14
     59707.2433, 3.568e-11, 4.181e-11, 5.827e-14, 6.812e-14
     59707.2436, 3.57e-11, 4.185e-11, 5.824e-14, 6.802e-14
