# Created from the data file from Mimmo using the preprocess script
# Only includes columns of relevance: time, flux, local_sky, and data quality flag
# Daniel Apai
1569.452274659,1.000000000,1763.559814450,0
1569.473107999,1.000000000,2023.484741210,0
1569.493941342,1.000000000,2313.255371090,0
1569.514774688,1.000000000,2663.649414060,2048
1569.535608037,1.000000000,3474.299072270,2048
1569.556441389,1.000000000,7068.782226560,2048
1569.577274744,1.000000000,14884.964843750,2048
1569.598108102,1.000000000,28598.994140620,2048
1569.618941463,1.000000000,48799.625000000,2048
1569.639774826,1.000000000,0.000000000,2048
1569.660608192,1.000000000,238.457214360,2048
1569.681441561,1.000000000,0.000000000,2048
1569.702274932,1.000000000,0.000000000,2048
1569.723108305,1.000000000,0.000000000,2048
1569.743941681,1.000000000,0.000000000,2048
1569.764775059,1.000000000,0.000000000,2048
1569.785608439,1.000000000,0.000000000,2048
1569.806441821,1.000000000,0.000000000,2048
1569.827275206,1.000000000,0.000000000,2048
1569.848108592,1.000000000,0.000000000,2048
1569.868941980,1.000000000,0.000000000,2048
1569.889775370,1.000000000,0.000000000,2048
1569.910608762,1.000000000,0.000000000,2048
1569.931442155,1.000000000,0.000000000,2048
1569.952275550,1.000000000,0.000000000,2048
1569.973108947,1.000000000,0.000000000,2048
1569.993942345,6976.105695458,56143.691406250,2048
1570.014775744,314460.036141106,0.000000000,2048
1570.035609145,77685.109816979,0.000000000,2048
1570.056442547,319434.844520272,0.000000000,2048
1570.077275951,266696.760221457,0.000000000,2048
1570.098109356,1.000000000,62819.929687500,2048
1570.118942761,1.000000000,46909.453125000,2048
1570.139776168,1.000000000,28284.642578120,2048
1570.160609576,295.521008378,20613.718750000,2048
1570.181442985,396.411871506,16939.044921880,2048
1570.202276395,332.514992780,13472.719726560,2048
1570.223109806,1.000000000,10200.673828120,2048
1570.243943218,1.000000000,7498.771972660,2048
1570.264776630,29.473135179,5402.273437500,2048
1570.285610043,25.660063809,3967.490234380,2048
1570.306443457,1.000000000,2988.691650390,2048
1570.327276872,1.000000000,2428.867187500,2048
1570.348110288,1.000000000,2177.473388670,2048
1570.368943704,1.000000000,1969.715820310,2048
1570.389777121,1.000000000,1794.546386720,2048
1570.410610538,1.000000000,1654.261962890,2048
1570.431443956,1.000000000,1548.296508790,0
1570.452277375,1.000000000,1463.149047850,0
