# Wavelength (nm),Transit Depth,Uncertainty
9.000000000000000222e-01,5.315864777173181718e-03,1.996972393912960480e-04
9.117254179153910787e-01,4.770726941420417623e-03,1.944800950850254057e-04
9.237749808823144670e-01,4.866615277891120188e-03,1.982536844049000635e-04
9.361593942731915030e-01,5.105381905865833715e-03,1.904529059258947379e-04
9.488893300204254144e-01,5.040475804257048102e-03,1.863614637149385318e-04
9.619753365363847841e-01,5.102715372874871459e-03,1.834675214625227768e-04
9.754277340125024898e-01,5.193951572630734100e-03,1.759547342820983167e-04
9.892564944161089668e-01,5.310900468460286530e-03,1.715172697602596128e-04
1.003471105912137951e+00,5.078105659809140776e-03,1.680891892992635028e-04
1.018080421996594209e+00,5.001220858963408011e-03,1.647813636067604979e-04
1.033092496355526801e+00,4.585970189585417654e-03,1.650762703682918584e-04
1.048514405363563107e+00,5.172796030610774670e-03,1.587281780826603418e-04
1.064352061201324862e+00,4.836399448200480108e-03,1.580617069325569030e-04
1.080610019772105135e+00,5.188557208408385059e-03,1.542994963942982732e-04
1.097291288879635562e+00,5.003743801856882709e-03,1.513460706702838177e-04
1.114397143405185586e+00,4.827659720546149426e-03,1.488930008038408118e-04
1.131926955377376309e+00,4.993997118649361189e-03,1.468910844251949846e-04
1.149878047719445684e+00,4.911839788933299207e-03,1.450953628687160651e-04
1.168245580928365390e+00,5.106482116298701433e-03,1.430531628846030501e-04
1.187022481833260201e+00,4.938015503026030144e-03,1.411807713927470693e-04
1.206199422769654417e+00,4.981417316182870821e-03,1.380025305663310474e-04
1.225764857919536155e+00,4.995152383781280292e-03,1.355119652270071241e-04
1.245705121215622269e+00,4.909351276209032375e-03,1.337144807868054426e-04
1.266004587202490761e+00,4.793885562438146737e-03,1.309966823002167637e-04
1.286645892802300128e+00,4.837730463708157097e-03,1.323099715817295356e-04
1.307623740229186149e+00,5.201381492074308097e-03,1.276085514959381930e-04
1.328943616558606822e+00,4.910700425270374953e-03,1.268141707182316477e-04
1.350611098328887705e+00,5.064812240345099859e-03,1.258604957744116680e-04
1.372631852999851354e+00,4.970917919916075650e-03,1.226481696158965729e-04
1.395011640435227074e+00,4.908921526001358906e-03,1.229495854094477425e-04
1.417756314409231555e+00,5.079346349277053668e-03,1.260162889536663947e-04
1.440871824137712087e+00,4.877535688874131033e-03,1.200535564327117531e-04
1.464364215834255134e+00,5.123076618402273678e-03,1.208242646545591530e-04
1.488239634291665059e+00,4.947291233874437540e-03,1.157877059683579178e-04
1.512504324489228447e+00,4.856673477172355168e-03,1.183265779072666292e-04
1.537164633226183907e+00,4.926443637349398920e-03,1.119719819534649945e-04
1.562227010781823466e+00,5.073300055576614696e-03,1.075535299864331494e-04
1.587698012602661635e+00,5.030237306759701744e-03,1.079808496808315460e-04
1.613584301017112477e+00,4.839863496364607207e-03,1.054912681403150836e-04
1.639892646978122537e+00,5.092128439328407440e-03,1.046224784617812105e-04
1.666629931834217260e+00,5.017496615658153560e-03,1.078897240548840525e-04
1.693803149129422092e+00,5.023080958353950964e-03,1.030767586899756447e-04
